quelle,url,titel,address,plz,bezirk,preis,wohnfläche,zimmer,balkon,terrasse,garten,einbauküche,fahrstuhl,keller,garage,carport,parkplatz,barrierefrei,haustiere_erlaubt,teilmöbliert_/_möbliert,stockwerk,verfügbar,bautyp,zustand,baujahr,preis_raw,wohnfläche_raw,zimmer_raw,böden,befristung,heizung,abstellraum,objekttyp,grundfläche,objektbeschreibung,lage,ausstattung,preis_und_detailinformation,zusatzinformationen,sonstiges,energieausweis_heizung,details,beschreibung,merkmale,highlight_raw
immowelt,https://www.immowelt.at/expose/2m3ga5v,Einzigartige Altbauwohnung mit Traumblick auf den Justizpalast,Schmerlingplatz 3 1010 Wien (Innere Stadt),1010,1,,171.73,3.0,False,False,,True,True,False,False,,False,,False,False,3. Geschoss,ab sofort,,renoviert / saniert,1872,"€ 5.899,78","171,73 m²",3,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Dusche, Gäste-WC Einbauküche Böden: Fliesenboden, Parkett Zustand: renoviert / saniert voll klimatisiert Anschlüsse: Kabelanschluss Baujahr: 1872 Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2m4lp5z,ERSTBEZUG - Luxuriöse Altbauwohnung mit Traumblick auf den Justizpalast,Schmerlingplatz 3 1010 Wien (Innere Stadt),1010,1,,171.7,3.0,False,False,,True,True,False,False,,False,,False,False,3. Geschoss,ab sofort,,renoviert / saniert,1872,"€ 5.899,80","171,70 m²",3,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Dusche, Gäste-WC Einbauküche Böden: Fliesenboden, Parkett Zustand: renoviert / saniert voll klimatisiert Anschlüsse: Kabelanschluss Baujahr: 1872 Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2nqa753,TERRASSENWOHNUNG IN INNENSTADT-PALAIS,Straße nicht freigegeben 1010 Wien (Innere Stadt),1010,1,,169.0,3.0,True,True,,True,True,False,False,,False,,False,False,,sofort,,Altbau (bis 1945),,"€ 3.995,01",169 m²,3,Parkett,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Wanne und Dusche Loggia, Terrasse Einbauküche, offene Küche Böden: Parkett Ausstattung: neuwertig voll klimatisiert Weitere Räume: Abstellraum Anschlüsse: Kabelanschluss Zustand: Altbau (bis 1945) Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2m6lw5w,"Luxuriöses Penthouse in edler Wohnhausanlage mit Pool, Fitnessbereich und Concierge-Service.",Straße nicht freigegeben 1190 Wien (Döbling),1190,19,,163.0,3.0,False,True,,False,True,False,True,,True,,False,True,,ab sofort,Neubau,,2006,€ 3.999,163 m²,3,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Fenster, Wanne und Dusche, Gäste-WC Terrasse offene Küche Böden: Fliesenboden, Parkett Ausstattung: teilweise möbliert, neuwertig voll klimatisiert Weitere Räume: Abstellraum Anschlüsse: Kabelanschluss Baujahr: 2006 Zustand: Neubau Personenaufzug 1 Stellplatz: Garage Wellness: Swimming-Pool",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2nb8y53,TERRASSENWOHNUNG BEI DER KARLSKIRCHE,Straße nicht freigegeben 1040 Wien (Wieden),1040,4,,160.26,4.0,True,True,,True,True,False,False,,False,,False,False,,sofort,,,1998,"€ 4.379,96","160,26 m²",4,"Fliesenboden, Laminat",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Fenster, Wanne und Dusche Balkon, Terrasse Einbauküche Böden: Fliesenboden, Laminat Ausstattung: neuwertig voll klimatisiert Anschlüsse: Kabelanschluss Baujahr: 1998 Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2nsbg53,4 Zimmer Wohnung mit zwei eigenen Terrassen direkt beim Karlsplatz!,Straße nicht freigegeben 1040 Wien (Wieden),1040,4,,160.26,4.0,False,True,,True,True,False,True,,True,,False,False,Dachgeschoss,sofort,Neubau,,1998,"€ 4.791,95","160,26 m²",4,"Estrich, Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Wanne Garten, Terrasse Einbauküche Böden: Estrich, Fliesenboden, Parkett Weitere Räume: Wasch-Trockenraum Baujahr: 1998 Zustand: Neubau Personenaufzug 1 Stellplatz: Garage",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2nrtj54,"Tolles 4-Zimmer DG mit 2 Terrassen und schönem Blick - alles auf einer Ebene - in Toplage, 1040!",Straße nicht freigegeben 1040 Wien (Wieden),1040,4,,160.26,4.0,False,True,,True,True,False,False,,False,,False,False,Dachgeschoss,Ab sofort,Neubau,,1998,"€ 4.791,95","160,26 m²",4,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Fenster und Dusche Terrasse Einbauküche barrierefrei Böden: Fliesenboden, Parkett voll klimatisiert Baujahr: 1998 Zustand: Neubau Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2m7r45r,"""Draußen in Sievering blüht schon der Flieder,.."" Bestlage 19. Bezirk","Straße nicht freigegeben 1190 Wien, Döbling",1190,19,,160.0,4.0,True,False,,False,True,True,False,,False,,False,False,,sofort,Neubau,gepflegt,,€ 2.750,160 m²,4,,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,Balkon Ausblick: Fernblick WG-geeignet Zustand: gepflegt Weitere Räume: Kelleranteil Baujahr: ca. 1993 Zustand: Neubau Personenaufzug Wellness: Sauna Sicherheitstechnik: Überwachungskamera,<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2nxjm52,Maisonettewohnung im Dachgeschoss mit atemberaubender Aussicht,Linke Wienzeile 64 1060 Wien (Mariahilf),1060,6,,159.69,4.0,False,True,,False,True,False,False,,False,,False,False,,Jänner,,,,€ 2.995,"159,69 m²",4,Parkett,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,Terrasse Böden: Parkett Personenaufzug,<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2nqn853,"Exclusive Vienna duplex with sun-filled glass front, outdoor areas & St. Stephen's Cathedral View",Tuchlauben 1010 Wien (Innere Stadt),1010,1,,156.48,4.0,True,True,,False,False,False,False,,False,,False,False,,,,,,€ 3.995,"156,48 m²",4,,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Loggia, Terrasse",<NA>,<NA>,<NA>
